feature,importance
deposit_amount,0.355267
transaction_amount_24hour,0.23560186
payment_CRYPTO,0.13972984
transaction_count_24hour,0.12345462
is_cross_border,0.05279428
payment_WALLET,0.04179933
amount_per_tx_24h,0.01688588
payment_BANK,0.0075267665
country_ID,0.0033021597
payment_CASH,0.002953715
country_ES,0.0027488782
country_KR,0.0020007472
transaction_count_1month,0.0014643945
amount_ratio_week_day,0.0011073903
id_type_PASSPORT,0.0010419856
payment_CARD,0.0008806393
transaction_count_1week,0.0008677059
stay_qualify_YES,0.0008616579
country_BR,0.00085380994
amount_per_tx_1month,0.00084008666
country_TH,0.00080847787
id_type_ID,0.0006668068
transaction_amount_1week,0.0006444173
country_CA,0.0006045495
amount_ratio_month_week,0.00059337047
country_PH,0.0005859525
country_MY,0.0005442066
transaction_amount_1month,0.0005409751
amount_per_tx_1week,0.0005171471
country_IN,0.00047686638
country_CN,0.00047112606
id_type_DL,0.00032408422
country_US,0.00025120293
country_DE,0.00022120301
country_SG,0.00021930685
country_JP,0.0001293822
country_VN,0.00012535979
country_MX,0.00011674168
country_IT,9.270819e-05
country_FR,4.3575503e-05
country_GB,2.4220573e-05
country_AU,1.5644577e-05
tx_accel_month,0.0
tx_accel_week,0.0
