feature,importance
deposit_amount,0.35354185
transaction_amount_24hour,0.26507595
payment_CRYPTO,0.06247119
transaction_count_1month,0.038397107
transaction_count_24hour,0.0382598
amount_ratio_week_day,0.033617727
transaction_amount_1month,0.027836576
payment_WALLET,0.026745085
is_cross_border,0.024592314
amount_per_tx_24h,0.019942118
amount_ratio_month_week,0.0136632025
payment_CASH,0.011810023
id_type_PASSPORT,0.005836232
id_type_ID,0.0055135214
transaction_amount_1week,0.0055011613
payment_BANK,0.0045276606
country_JP,0.004216149
amount_per_tx_1month,0.003744778
transaction_count_1week,0.003613321
country_VN,0.0036104019
payment_CARD,0.00352774
country_IT,0.0034743655
amount_per_tx_1week,0.0029213922
country_PH,0.0028094947
stay_qualify_YES,0.0026856724
country_US,0.0025888057
country_SG,0.0025830497
country_MY,0.0024316772
country_ID,0.0024302853
country_ES,0.0024241302
country_KR,0.0024002544
country_AU,0.0021737176
country_IN,0.0021230273
country_CN,0.0019300609
id_type_DL,0.0016276026
country_GB,0.0016107359
country_BR,0.0015652372
country_DE,0.0014248812
country_FR,0.0013586002
country_TH,0.0011969811
country_CA,0.0011704027
country_MX,0.0010258892
tx_accel_month,0.0
tx_accel_week,0.0
