feature,importance
deposit_amount,0.3558382
transaction_amount_24hour,0.23536012
payment_CRYPTO,0.056423645
transaction_count_24hour,0.05168861
amount_ratio_month_week,0.04046444
transaction_count_1month,0.039269097
transaction_amount_1month,0.031159664
amount_ratio_week_day,0.02644244
is_cross_border,0.024034077
payment_WALLET,0.022544712
amount_per_tx_24h,0.015892608
payment_CASH,0.014172175
amount_per_tx_1week,0.007863011
country_AU,0.0061604204
id_type_ID,0.0055905874
payment_BANK,0.004905204
id_type_PASSPORT,0.00411583
country_JP,0.0035273768
country_SG,0.003369089
amount_per_tx_1month,0.0032580742
country_GB,0.003177176
transaction_amount_1week,0.0031522834
payment_CARD,0.0029364754
country_KR,0.0028517991
transaction_count_1week,0.002804211
country_IN,0.002772353
country_VN,0.0027030597
country_MX,0.002655202
stay_qualify_YES,0.0025325145
country_FR,0.0024153965
country_CN,0.0021720089
country_ID,0.0021624055
country_IT,0.0019705563
country_MY,0.0018884497
country_PH,0.0017636686
country_CA,0.0017368416
country_ES,0.0017005568
id_type_DL,0.0014206981
country_DE,0.001414552
country_TH,0.001335889
country_US,0.0012205777
country_BR,0.0011339617
tx_accel_month,0.0
tx_accel_week,0.0
