feature,importance
transaction_amount_24hour,0.48847312
amount_ratio_week_day,0.37484896
transaction_count_24hour,0.06051468
payment_CRYPTO,0.047130577
stay_qualify_YES,0.006441924
deposit_amount,0.0062118336
amount_per_tx_24h,0.0047367224
id_type_PASSPORT,0.0043806015
payment_WALLET,0.0040663546
amount_per_tx_1week,0.0031952148
transaction_count_1month,0.0
transaction_count_1week,0.0
tx_accel_month,0.0
tx_accel_week,0.0
amount_per_tx_1month,0.0
transaction_amount_1month,0.0
transaction_amount_1week,0.0
is_cross_border,0.0
payment_CARD,0.0
payment_BANK,0.0
payment_CASH,0.0
country_AU,0.0
country_BR,0.0
country_CA,0.0
country_CN,0.0
country_DE,0.0
country_ES,0.0
amount_ratio_month_week,0.0
country_FR,0.0
country_GB,0.0
country_IN,0.0
country_ID,0.0
country_JP,0.0
country_KR,0.0
country_MX,0.0
country_IT,0.0
country_MY,0.0
country_PH,0.0
country_TH,0.0
country_SG,0.0
country_US,0.0
country_VN,0.0
id_type_DL,0.0
id_type_ID,0.0
