feature,importance
deposit_amount,0.14935577
transaction_count_24hour,0.13380587
transaction_amount_24hour,0.064290114
country_ID,0.045516852
id_type_ID,0.037551586
country_TH,0.036495708
amount_per_tx_1week,0.035964232
country_PH,0.03147053
country_SG,0.03144874
payment_BANK,0.029541887
country_KR,0.027974276
is_cross_border,0.027235964
country_VN,0.026344284
payment_CASH,0.026033632
country_JP,0.025948783
country_ES,0.025434894
country_IT,0.022655405
amount_per_tx_24h,0.021252748
stay_qualify_YES,0.020999301
payment_CRYPTO,0.019974783
payment_WALLET,0.019713636
country_GB,0.015676936
country_CA,0.015288334
id_type_DL,0.015068989
payment_CARD,0.013967336
country_BR,0.012205528
id_type_PASSPORT,0.0112309195
country_MX,0.009303157
country_IN,0.0086275
country_MY,0.007584694
amount_per_tx_1month,0.0069815107
country_CN,0.006272301
country_AU,0.005800829
country_FR,0.004460123
country_US,0.0043442943
country_DE,0.004178415
tx_accel_month,0.0
tx_accel_week,0.0
transaction_count_1month,0.0
transaction_amount_1month,0.0
transaction_amount_1week,0.0
transaction_count_1week,0.0
amount_ratio_week_day,0.0
amount_ratio_month_week,0.0
