feature,importance
deposit_amount,0.32850534
transaction_amount_24hour,0.2666754
payment_CRYPTO,0.069620535
transaction_count_24hour,0.04335484
transaction_count_1month,0.028558092
is_cross_border,0.025619375
payment_WALLET,0.025501132
amount_ratio_month_week,0.022068061
transaction_amount_1month,0.021287905
amount_ratio_week_day,0.020945348
amount_per_tx_24h,0.017628934
transaction_count_1week,0.013966249
payment_CASH,0.013733366
country_GB,0.006551964
id_type_PASSPORT,0.0056408215
transaction_amount_1week,0.005611749
country_JP,0.0053811646
id_type_ID,0.005281207
payment_BANK,0.0051269913
country_ES,0.00504986
country_IT,0.0050213225
amount_per_tx_1month,0.0044253934
country_MY,0.0041318443
amount_per_tx_1week,0.003837516
payment_CARD,0.0037193352
country_CN,0.0033326936
country_AU,0.003267287
country_PH,0.0032480012
stay_qualify_YES,0.0032060663
country_ID,0.0029504187
country_VN,0.0029126145
country_KR,0.0029072647
country_MX,0.0023258417
country_DE,0.002305858
country_TH,0.0022591623
country_IN,0.0022181515
id_type_DL,0.0021808709
country_FR,0.0021346647
country_BR,0.0020553393
country_SG,0.0020462796
country_US,0.0019082048
country_CA,0.0014974638
tx_accel_month,0.0
tx_accel_week,0.0
