feature,importance
transaction_amount_24hour,0.5883255
amount_ratio_month_week,0.11178497
deposit_amount,0.08074393
transaction_count_1week,0.030067211
payment_CRYPTO,0.029158425
transaction_count_24hour,0.025438437
is_cross_border,0.014799328
payment_WALLET,0.014014783
amount_per_tx_24h,0.006321425
transaction_amount_1month,0.00590118
country_IT,0.0049012527
country_SG,0.004050788
amount_ratio_week_day,0.0039945627
transaction_amount_1week,0.0039454484
payment_BANK,0.003730135
country_VN,0.0036959674
amount_per_tx_1week,0.0034089184
country_AU,0.0033493163
transaction_count_1month,0.0033452783
country_ES,0.0033274316
payment_CARD,0.0032038465
country_GB,0.003168303
amount_per_tx_1month,0.0031032385
country_MX,0.0030952438
country_CA,0.0030064008
country_KR,0.0029862616
country_DE,0.0029426196
id_type_ID,0.0028031936
country_JP,0.00279858
stay_qualify_YES,0.0027692136
country_PH,0.0027242252
country_FR,0.0026753966
id_type_PASSPORT,0.0025917955
payment_CASH,0.002347509
country_BR,0.0023232389
country_CN,0.002082561
country_MY,0.0020254923
id_type_DL,0.0019684278
country_IN,0.0018778833
country_TH,0.0017797236
country_US,0.0017122905
country_ID,0.0017102651
tx_accel_month,0.0
tx_accel_week,0.0
